v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,36051,0x365f00bad640,15,DatePrototypeSetMilliseconds
code-creation,Builtin,3,36136,0x365f00bad6a0,15,DatePrototypeSetMinutes
code-creation,Builtin,3,36208,0x365f00bad700,15,DatePrototypeSetMonth
code-creation,Builtin,3,36296,0x365f00bad760,15,DatePrototypeSetSeconds
code-creation,Builtin,3,36367,0x365f00bad7c0,15,DatePrototypeSetTime
code-creation,Builtin,3,36438,0x365f00bad820,15,DatePrototypeSetUTCDate
code-creation,Builtin,3,36509,0x365f00bad880,15,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,36580,0x365f00bad8e0,15,DatePrototypeSetUTCHours
code-creation,Builtin,3,36650,0x365f00bad940,15,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,36722,0x365f00bad9a0,15,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,36793,0x365f00bada00,15,DatePrototypeSetUTCMonth
code-creation,Builtin,3,36863,0x365f00bada60,15,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,36934,0x365f00badac0,15,DatePrototypeToDateString
code-creation,Builtin,3,37005,0x365f00badb20,15,DatePrototypeToISOString
code-creation,Builtin,3,37075,0x365f00badb80,15,DatePrototypeToUTCString
code-creation,Builtin,3,37145,0x365f00badbe0,15,DatePrototypeToString
code-creation,Builtin,3,37245,0x365f00badc40,15,DatePrototypeToTimeString
code-creation,Builtin,3,37316,0x365f00badca0,15,DatePrototypeToJson
code-creation,Builtin,3,37392,0x365f00badd00,15,DateUTC
code-creation,Builtin,3,37461,0x365f00badd60,15,ErrorConstructor
code-creation,Builtin,3,37531,0x365f00baddc0,15,ErrorCaptureStackTrace
code-creation,Builtin,3,37603,0x365f00bade20,15,ErrorPrototypeToString
code-creation,Builtin,3,37673,0x365f00bade80,15,MakeError
code-creation,Builtin,3,37742,0x365f00badee0,15,MakeRangeError
code-creation,Builtin,3,37818,0x365f00badf40,15,MakeSyntaxError
code-creation,Builtin,3,37888,0x365f00badfa0,15,MakeTypeError
code-creation,Builtin,3,37957,0x365f00bae000,15,MakeURIError
code-creation,Builtin,3,38026,0x365f00bae060,15,FunctionConstructor
code-creation,Builtin,3,38095,0x365f00bae0c0,64,FunctionPrototypeApply
code-creation,Builtin,3,38165,0x365f00bae140,15,FunctionPrototypeBind
code-creation,Builtin,3,38281,0x365f00bae1a0,47,FunctionPrototypeCall
code-creation,Builtin,3,38368,0x365f00bae220,337,FunctionPrototypeHasInstance
code-creation,Builtin,3,38440,0x365f00bae3c0,15,FunctionPrototypeToString
code-creation,Builtin,3,38511,0x365f00bae420,243,CreateIterResultObject
code-creation,Builtin,3,38590,0x365f00bae560,876,CreateGeneratorObject
code-creation,Builtin,3,38660,0x365f00bae920,15,GeneratorFunctionConstructor
code-creation,Builtin,3,38731,0x365f00bae980,15,AsyncFunctionConstructor
code-creation,Builtin,3,38801,0x365f00bae9e0,15,GlobalDecodeURI
code-creation,Builtin,3,38871,0x365f00baea40,15,GlobalDecodeURIComponent
code-creation,Builtin,3,38941,0x365f00baeaa0,15,GlobalEncodeURI
